Region,Title,URL,Image Count
central-and-southern-asia,Central and Southern Asia Regional Community,http://hub.connectingclimateminds.org/rc/central-and-southern-asia/,49
central-southeast-asia,404: NOT_FOUND,http://hub.connectingclimateminds.org/rc/central-southeast-asia,0
eastern-and-south-eastern-asia,Eastern and South Eastern Asia Regional Community,http://hub.connectingclimateminds.org/rc/eastern-and-south-eastern-asia/,73
eastern-south-eastern-asia,404: NOT_FOUND,http://hub.connectingclimateminds.org/rc/eastern-south-eastern-asia,0
europe-and-northern-america,Europe and Northern America Regional Community,http://hub.connectingclimateminds.org/rc/europe-and-northern-america/,49
latin-america-and-the-caribbean,Latin America and the Caribbean Regional Community,http://hub.connectingclimateminds.org/rc/latin-america-and-the-caribbean/,73
northern-africa-and-western-asia,Northern Africa and Western Asia Regional Community,http://hub.connectingclimateminds.org/rc/northern-africa-and-western-asia/,43
northern-africa-western-asia,404: NOT_FOUND,http://hub.connectingclimateminds.org/rc/northern-africa-western-asia,0
oceania,Oceania Regional Community,http://hub.connectingclimateminds.org/rc/oceania/,49
sub-saharan-africa,Sub-Saharan Africa Regional Community,http://hub.connectingclimateminds.org/rc/sub-saharan-africa/,51
